productionCountries,numMovies,avgProductionBudget,worldwideBoxOffice
United States of America,25136,38254546,644025169980
China,3126,36834138,59408472538
United Kingdom,4678,30510115,56906119043
France,4594,22323053,21241731371
Japan,2098,31739412,18958205643
Germany,2221,30449586,11124491664
South Korea,2062,16756481,10078354243
Canada,2053,20264786,8763212959
India,2825,15802131,8451148818
Australia,1133,32367718,8425437314
New Zealand,312,59255333,7424870028
Italy,2173,18038788,4731877485
Spain,2019,23029052,4543533731
Russia,1486,12590889,3006176376
Belgium,703,16113575,2392194180
Mexico,663,12148485,2162076356
Ireland,400,17753500,1489791321
Sweden,370,15142857,1462134055
Netherlands,618,18963043,1440166422
Brazil,687,14559868,1124378172
Turkey,1383,10733333,1118086978
Taiwan,204,13685714,1052356087
Denmark,354,11924181,862759750
Finland,202,13414875,781298463
Czechia,438,31883333,763670904
Poland,385,7934909,718629085
Switzerland,313,21182727,700524034
Argentina,944,11075000,644012236
South Africa,195,18395526,609573643
Hungary,153,34924417,572265427
United Arab Emirates,51,24957500,539368692
Austria,221,11041667,323570413
Panama,12,36000000,305439992
Norway,254,5539286,282386041
Colombia,101,5125000,281217555
Luxembourg,130,19141667,280790204
Thailand,167,7387500,265923955
Tunisia,29,35000000,249467149
Romania,240,11443667,240325012
Morocco,45,36225000,229723450
Chile,132,9100000,198981180
Slovakia,183,36000000,193267521
Uruguay,58,135000000,169200779
Paraguay,18,135000000,165740252
Iceland,84,17850000,147237263
Philippines,192,0,131506071
Israel,240,2500000,124597266
Ukraine,91,26000000,106490873
Peru,49,1200000,96961633
Kuwait,8,80000000,96775326
Iran,112,3484286,88207390
Lebanon,48,4625000,87382532
Greece,105,2607667,84832071
Yemen,5,0,84111634
Portugal,412,800000,68958437
Cuba,46,0,67634816
Venezuela,28,1400000,56326599
Bahamas,8,31500000,56207252
Malaysia,50,25000000,53710234
Latvia,50,9500000,53702403
Algeria,17,10100000,47510533
Greenland,5,21000000,46084208
North Macedonia,37,5000000,45713467
Bulgaria,127,10750000,43950403
Botswana,4,0,43923227
Croatia,78,40000000,38095680
Namibia,4,75000000,34034218
Estonia,48,1250000,33336504
Kazakhstan,37,29000000,28820511
Lithuania,125,500000,27403486
Indonesia,110,950000,21454417
Costa Rica,12,20000000,19513972
Serbia,69,0,19133081
Saudi Arabia,29,85000000,18081038
Pakistan,77,1100000,16570689
Qatar,77,5428333,15485281
Bosnia and Herz.,33,20500000,14954135
Mongolia,19,30000000,14745204
Palestine,36,0,14601839
Dominican Rep.,37,362500,12119445
Egypt,77,2625000,11594933
Slovenia,55,1653333,10985267
Vietnam,53,1000000,9587913
Cyprus,17,3650000,7910674
Montenegro,6,0,7864681
Belarus,15,0,7299428
Mauritania,3,2500000,6860448
Senegal,21,0,6738386
Armenia,17,0,5250797
Afghanistan,21,500000,5067922
Georgia,35,12000000,4957619
Puerto Rico,24,1000000,4652889
Kenya,20,15000,4118104
Cameroon,10,0,3074051
Kosovo,13,0,3050065
Cambodia,29,3000000,2682498
Papua New Guinea,3,0,2287136
Nepal,40,0,2064246
Bhutan,5,0,1866006
Tajikistan,5,0,1776779
Albania,14,0,1669713
Myanmar,6,0,1625005
Libya,3,35000000,1522008
Haiti,8,0,1499885
Jordan,11,2767500,1398859
Guatemala,10,0,1072888
Brunei,1,0,993251
Djibouti,1,0,993251
Nigeria,95,2616667,867056
Laos,4,0,856821
Kyrgyzstan,8,1400000,815153
Vanuatu,2,0,574050
Bangladesh,19,0,490615
Ghana,12,0,406799
Sri Lanka,9,0,367002
Iraq,15,0,304301
Chad,3,0,279502
Uzbekistan,4,0,270968
Rwanda,5,0,261889
Sudan,6,0,228472
Syria,13,0,214714
Bolivia,11,0,206928
Somalia,3,0,157071
Ethiopia,10,0,113927
Dem. Rep. Congo,5,0,113767
Azerbaijan,10,29120,102961
Jamaica,8,750000,82978
Angola,8,0,78698
Moldova,4,0,64211
Uganda,7,0,61510
C™te D'Ivoire,2,0,49967
Tanzania,10,800000,27694
Madagascar,1,0,25363
Zimbabwe,1,0,25038
Congo,1,0,24139
Gabon,1,0,23866
Burkina Faso,3,0,7849
Lesotho,2,0,3355
Ecuador,10,800000,2742
Mozambique,2,0,2467
Mali,2,0,1939
Antarctica,2,0,976
Belize,1,0,0
Benin,1,0,0
Central African Rep.,1,0,0
El Salvador,2,0,0
Fiji,1,0,0
Gambia,1,0,0
Guinea-Bissau,2,0,0
Honduras,1,0,0
Liberia,1,0,0
Malawi,1,0,0
Nicaragua,4,0,0
Niger,1,0,0
Oman,1,0,0
Sierra Leone,1,0,0
Solomon Is.,1,0,0
Togo,1,0,0
Trinidad and Tobago,4,0,0
Zambia,2,0,0
